Capital Requirement,Expected Loss
458567.2357357461,13766.307900009095
430919.2609714576,12432.244108780791
448511.40009634855,12939.528541708562
473279.38258277526,14458.022465997296
473478.7828117379,14050.184857765647
453031.1730347642,13369.719579190016
465794.9499079674,14522.226635270341
426439.7958578194,12476.492233878085
450924.07318729884,14286.38772430536
425699.1920506801,13013.384094979698
422204.4964132503,12856.018074350586
461902.0951845029,13939.83477789024
462419.5980860652,13984.796993405605
415069.8296570562,12699.16465864137
422840.5910302005,13144.490927653726
459846.73410158785,14315.788933304202
456629.729143701,12823.174427875521
429154.43307646737,13027.196319123314
438421.5086788613,13150.507671737565
436881.95882189006,13063.400126519815
453977.4600262776,13841.328815770643
432421.7705872437,12404.145472273533
423846.5262821259,12604.44493012791
442318.13427479274,12923.121634488845
434237.0666060734,12942.955567780631
442494.26593870256,12930.023335423946
457677.96399890294,14421.312037492193
435013.9086694076,12263.38744725685
444679.1910444844,13190.234703073433
450786.49282734905,13501.32441288785
436563.1796358565,12887.283823502297
439691.33245304466,13475.073399787587
443864.7509523375,13231.225320554488
495867.7510211086,15293.394791211285
435184.8511648086,13156.39571925444
485176.31534180045,20972.151802345434
412456.4017689155,11993.950073688266
444789.6011527757,12849.672687779566
445778.72346875933,12546.349400463947
428894.3272887042,12494.874764645156
457576.2816146286,14556.885836096484
460431.75896229106,13280.306693574283
449807.69287976366,13363.598356034563
445822.077519117,12836.171347222598
449897.0548967907,12903.282134050109
441236.8134491523,13257.522540048645
442154.2625200937,13186.52207538061
465464.5208471183,12943.892938959818
449667.34999406146,13411.29722856195
457324.15413546027,13853.603621706461
466762.7037382038,13189.793249003662
439284.3365839857,13939.73724785163
418452.02378704754,11712.836118790592
466226.06937007734,14136.078560032158
437687.59295263735,14429.225109202082
441954.9041079723,13089.747105543982
421622.2220656355,12500.91173959996
451880.8705161699,12926.000073836258
444970.05687072454,12410.810850994741
421108.3508256255,12596.333136403668
454038.48525882995,13435.15493591215
421406.49631449697,13147.768020495809
445865.20081727847,12906.488595359719
448085.5782194657,13581.630072307104
444804.8091445179,13744.16389782237
427520.23643149086,12278.455310437434
454916.6509204514,13390.195512090066
430378.8701391275,12682.445501371025
463103.0077042813,13814.823902092734
468742.2455113878,13922.635196648165
432254.57914217573,12401.356086136026
476260.41688520863,14372.809030115266
441823.6343794968,13208.059731711615
461355.21737928485,14915.264040412523
495827.26467908046,16886.671605553336
462342.3553200732,13381.972384256533
457931.6110557907,13761.847640491675
467375.4501981642,13405.023162215544
440933.28368882113,12821.57504422774
450113.4451151398,12837.927604134054
443838.4869281996,12838.227221547331
442828.02905807033,13312.279482337832
500070.85954600776,15885.276270733953
426218.2458612964,13038.129057098216
471881.6761192876,14155.104655145147
430261.9171457491,13130.715866140217
433424.26770671457,12713.931144094757
443229.4014218616,13447.125965232415
472865.06220297597,14122.835854510953
427619.8682694611,13125.247850266802
423387.99131224037,12074.278841339776
493865.3502384444,14457.612704431296
459425.7824854411,14207.002510992847
429984.16760946775,11316.372748946576
470744.18541911227,14494.60163946396
455393.1498145283,13798.520233052208
437001.7412950384,13756.737207522687
445574.6556770093,13650.337644886473
443429.9243930969,13480.93847836764
438046.3042982412,12516.494882479707
439752.9007148049,13318.09879999543
424186.20456384926,11847.350111905176
438538.22245515906,12806.298942136957
428614.86634121276,13947.391425154616
439554.3382917617,13071.958611954884
440053.39592888823,12430.298572216545
441445.6298612565,13302.714012491997
496665.49209489755,18248.595558256886
438201.01662251726,12362.101790825156
454121.01705483196,13063.998959971537
423230.53762954276,12218.034099667217
458902.07528126996,13448.740654153527
488259.2455449867,14588.816258248666
458801.05803235306,12792.314767447284
448931.96138603287,12814.922116981143
459533.8943064726,12610.777908222144
462588.9222267331,13122.367524436118
447288.1097703789,12833.111108346255
430827.4053603967,12760.14342443738
438923.26687082316,12808.513016948174
474924.9083356336,14176.312007515307
456078.7930001599,13199.561137878427
435060.10649874026,13208.413847198286
443746.009825141,13553.512810912482
454547.49405601656,14043.294467441192
469619.0014938938,13197.931923093207
434688.9439315014,12978.452565783464
443746.561926506,13046.807772012608
471906.50812204846,16665.897756359995
437317.068817948,12552.952888556089
464473.5044025827,13649.69725241966
429819.565412474,12260.56568628335
430826.25354639225,12317.408207018112
475558.57835426595,15908.274004890594
417845.1830497937,12531.549759896348
424604.2017075286,12243.477809113909
420474.1895596137,12444.049736543977
436577.5127414989,13247.22608122458
473912.26207511855,15332.517759152235
451466.2448306342,14075.54133130316
443518.8337413245,13562.825190842026
463666.3233424551,13626.51455872392
464490.7492487724,13404.237216636642
415247.04572991503,13016.686617294843
463619.91438163334,14589.37602162842
427690.5743973836,12615.167835664659
479731.01423649734,16012.606073972871
456701.34301715915,12923.147821090013
443631.8318973662,12696.504241967183
434970.98360323015,12746.614032237856
458406.02564940584,13712.81592767581
431601.142658693,12177.605571087846
423114.6702697528,12511.595311959105
448452.822954349,12393.529559395793
444617.44808610214,13123.459318376932
437052.83982543915,13279.599049933473
470583.44400280697,14123.419918881911
462775.74769616977,14417.812399465987
466701.5343106445,13555.77913132191
446713.88375893235,13451.903402778908
433063.4321429905,13752.600680864063
430108.5849644523,13225.83959972023
425317.8837070918,12275.579306028823
432707.1430399829,13325.102918956425
429929.81943653163,12748.193878914444
435015.25745426107,12830.611233028043
447665.83760602114,12998.834404879843
428797.13657583913,13273.871812335834
441236.93622938,12442.12222479621
453147.11331556,13378.64710217905
439667.3506707345,13133.723695949306
428257.5201347773,13185.009567668392
430439.0657576115,13011.12160815147
428966.06761073053,13337.184780581372
428159.5117987388,12616.497519603829
469210.65462926484,14702.082357425956
446458.56681702426,13139.92599197772
434628.3361646805,12166.85674994704
463803.5092428429,14643.279019277157
434517.777573575,12920.628137751275
435426.150838587,13474.509674204517
457102.2782812173,13486.513042089777
433308.35688509495,12502.659868406146
479425.53712210304,13865.553541164189
447787.85255997605,12895.866130243941
460081.8026368681,13888.71440557593
432970.77038427116,12342.271371913288
426858.29733834247,12886.42392106677
461966.5041878568,14014.607068346573
449090.367208516,13473.956301462475
462293.07158758875,13722.271059271407
445336.3377613599,14417.984308759153
435997.00859484874,13533.160302358376
453111.9652471647,13111.4145624316
409770.51661329286,12640.746211598696
438753.1065683613,12652.711120794997
457353.25913223316,13473.519050149931
450160.34057794686,13201.916232003601
457032.1985827668,13266.21848749002
443445.86192732054,12579.8760289477
436685.64881945174,13171.963751934021
424062.3642590889,13201.154072935418
432858.7126398227,12022.331074524885
439638.4905656822,13476.08109183365
428280.3186996103,11807.205765785162
447099.48174447473,12739.675372067832
453603.2136999087,12023.625768796173
430138.0047049108,13117.200888086729
459063.3206872214,13070.904847311893
473342.2352648105,13988.023898820815
440136.5634210611,13334.07588168696
459797.78478059766,15994.89423282401
439734.25713295455,13527.718342731543
460490.35955644824,15076.913482749085
431768.78121522337,12542.64352901917
417298.97943424666,12667.036940566308
446917.6591665269,12722.962943819464
456397.57446280675,13124.373533670514
460406.19553898874,14016.728616808527
430084.3495350875,12496.878661816247
440126.7998236328,13108.362400748194
455626.1087118638,13817.00338757904
447642.7703748019,13049.077453784315
450147.9203395955,13776.587677284127
426560.5882372911,13663.693633840547
426515.2032074502,12514.318336029868
445009.7292289015,12861.537238734865
465979.325187393,13025.767527087894
437342.0163544325,13397.44917844254
436222.580324315,13420.914441522835
431675.2932053354,13006.130108718722
442552.14409256924,12517.12752035398
437505.28630407376,12798.634965902133
444651.94619786344,12995.455662711625
460290.9608769461,13502.731721088077
452630.2551216719,13418.028017657845
471600.5144698033,14139.413371212733
461540.12011001795,12950.099919777422
440577.03929558804,13124.995013761794
439099.67286354885,12653.28696289002
434198.19480553,11772.892234709869
460624.25338555605,13494.360607890234
463848.37187137373,14737.104517434957
466711.44433592807,12892.250852952737
431122.3355656151,11773.202774705644
454612.76290208136,13774.880204347988
440939.57122900593,15220.203044268488
433006.04773087165,13298.065376861185
430205.32831677416,12652.937492538735
420565.7710988858,12392.896286711872
474236.15963045176,14248.697696342373
444472.2082892052,12924.378764709998
451972.187253012,13515.310943912757
431706.3997808674,12507.013298789396
452377.95873393095,12393.711896565019
440131.9077478684,13541.963931638813
439518.5341987718,12916.320282223614
436045.9629392241,12658.319194384061
469858.44670306565,14733.596340752
447908.2593649733,13592.110296062408
456394.5118106818,13131.145641907966
446543.9148015855,13434.124370496354
456624.9002456141,13172.849628002125
436022.447132791,12502.235496351575
464309.13889141975,14493.644867067294
458356.5010942576,13883.304002666711
432865.51768955495,12718.056032833914
444171.6259093877,11854.889041370945
433210.1526333808,12523.176280748008
455103.29177008115,12494.431796479286
437765.1400343359,12740.310585059171
442473.7454680279,13886.152469448585
421052.65797225997,12422.541767328861
443303.8566778344,13235.022588839543
424496.32666038105,12599.736916467124
452686.265361013,14756.556748032024
437618.6805653512,12912.536213971238
456741.23348162987,14914.377694051887
433961.4333099615,12374.025839418598
469361.40240315394,14235.57673092189
438205.5293856204,12588.574526677952
462872.60167791165,13844.607851505349
458702.9656220722,13675.772248285779
457617.13524022023,14480.372766398525
451761.857314841,14331.483828123166
449254.01275663415,12847.741101990992
451691.78217789193,13706.739985126835
476298.3576858206,14989.24124479536
443211.02171391586,13245.189128987544
449450.47449185024,14161.045362759955
488939.4187652883,14868.182567094373
450116.5216651896,13813.436810249683
458106.0831348002,15112.895446584422
415712.5057393501,11452.933126197806
456015.0439539169,13385.025616670431
419258.07799159957,12572.06978890693
448170.66253987496,13295.984795523065
418022.6648453704,12518.7981395452
424747.5896002813,12849.641778507154
429520.58712981833,12788.659970347675
437940.5889455832,14047.599564549078
457445.2114858496,13258.83683440102
419469.0706213139,12193.235494683136
446945.58623063925,12988.814146286182
423268.2145087536,12872.8925476553
451659.5240374923,13448.90993323971
482256.27326647163,15616.951594203201
433618.1834921668,12512.666998571196
424385.799861074,12233.999028761198
450127.03809367155,15435.024226652904
444209.96646741516,13687.27102667108
454875.3086499255,13574.28254498569
436462.56634576083,13123.444451762385
442102.2260906033,12872.590007092176
442096.92999569303,14200.858166468337
454814.7183435944,13213.193726690723
460956.13910855923,13128.68056670262
447045.2717237011,13662.263091404504
427324.5338686765,12771.167643949313
426760.3581303535,12595.231208576472
425094.2710340751,12370.086653313849
443414.46725034615,13535.627328685052
433623.5455280073,13119.630496709953
459117.5869490901,13337.322631111276
464671.77107281407,13227.797062225327
485396.9920104933,14611.724780996108
469884.82576852257,13973.626624590266
420096.9521111326,12322.296128732494
433772.8720738219,12962.897948464708
478515.747896245,19124.744720660987
466972.5731448913,13352.517910273411
434357.8147283071,12856.834048375167
450236.386394415,13966.365519364945
422793.2875339954,12807.084521659679
449341.12180592894,14204.724620513105
458686.0589234631,15068.363678784655
427768.75014704966,12477.694169779872
454611.88285196776,14135.754616970811
422456.68602673407,12861.491345888408
439744.78576333734,13337.907079048626
444046.3829564809,12931.533376918476
443522.9639245831,14241.740327295964
448331.5399209789,13236.377242195736
425981.08225658,12722.832347474461
447512.79966977483,13849.162797467354
421138.7626581336,12321.931488272912
442741.47486532794,13001.339609430415
428620.1735439825,13101.19893047737
441993.67544686433,13023.539920267734
457903.6598159818,13368.520385462234
442881.668028503,12994.445801287082
436421.1042440679,12661.408666326803
463951.6062415458,13881.081684033796
452576.20742354915,13394.23411526667
442813.9135125659,12933.555852980833
470940.090627373,14860.177115054983
450963.9587652097,13747.316169458574
431545.60353646806,12862.877390565762
427051.834941854,12603.499410847468
436977.7401616002,12548.153028291095
443057.44758763624,13215.599708156062
448204.65359076695,13410.950350214101
430410.413341,12455.943018409189
438563.98819770647,13484.559935990193
447216.0106381397,14062.181223503925
434313.89763555676,12736.47394552982
483042.22131802764,15617.46411849356
449879.9308860414,12887.97649227393
450707.61462119257,13232.58221148755
441004.7115483941,12348.508420664737
448327.46063203504,13750.620665234228
464183.5528777848,13504.542519214847
476684.3602880457,14139.318694913902
435884.40773840854,13418.966918805036
476304.6261874811,13866.166292380041
447158.7777757796,13098.650632092249
430720.17041364487,12274.266786097061
428449.53031749727,12454.65971703322
431781.90992463776,12515.840271791963
424787.0210400133,12394.292554172964
445763.1132343196,13753.820708728854
451985.98703456763,15283.7244996644
460063.3980617304,12996.455278199697
472650.3867436404,13784.805309540305
445293.42359267536,13515.251971758396
428408.7348494022,12803.759446208252
456205.3513445496,13350.080570831795
438014.8065828926,13407.673152296007
478909.1509979939,14292.91782580082
440504.45360492135,12194.321904102067
430769.1413976551,13020.53890824726
441373.34254474594,12980.962606808176
468953.4980691112,14717.791206907816
450850.86301724555,14775.83819907403
451274.4266330024,12385.614120112781
427910.4494552847,12641.028650144248
437040.4894050519,13918.194412159562
429551.39582808816,12117.914742855268
458404.43390882865,13959.352228607788
465459.0326683254,13526.767917466675
431528.98264535493,12356.507367673054
431577.9844216133,12309.989730390702
446183.07490787114,13502.323543364686
421749.0949144339,12057.458246329154
452912.63905345567,12897.584604403197
449944.6317919432,14558.326551832866
468375.1658973695,14322.351548031154
440879.82894746785,13089.453884106531
424779.2111978951,13425.737587601641
459289.089618592,13434.64619369216
467305.04305065953,13977.940548677389
462495.5699519041,13402.559165618026
432751.25307720434,12330.980503518971
448809.5108347279,13374.803281047007
446350.4940157676,14639.009013475576
454083.66963340616,13496.575465148058
469644.52163130685,13096.249994069962
437259.360806696,12748.644576975877
451630.2998699326,14332.415745936865
420732.9253519784,12914.32641820888
428486.7739045246,12393.698064091222
470315.0596852552,14417.997705439246
506869.3171194758,17927.325312265722
452799.01872587134,13561.268659294485
427607.5337095851,13013.55689939255
428708.31386656896,12867.177122892559
427961.9133571398,12179.383377793933
431947.9412393804,12395.204310717854
446907.7641558461,13168.148570910551
466300.0348170744,14401.74981558358
475834.11185548094,15075.730899533719
431160.35170507,12534.369832069107
457445.82095303934,12995.330959433537
445952.8435515173,13452.056904801248
466312.67272627295,14597.319723121967
424626.88625993836,11567.491864548703
445357.8127029781,12885.263609633035
444824.70283645194,13246.342616859394
502861.0349472209,14244.694395171264
445453.0045803017,13880.66845253259
458121.3433700186,14108.47998914081
421704.2860127141,12532.646433055379
432343.03444593155,12742.75200554634
465278.9177135938,13702.206365229378
478076.4858861645,15360.26620375074
458980.9273920125,13910.046213388141
449467.2389339107,13213.640195793225
442689.2869816001,13848.99121767423
433394.1704751967,13142.606409449694
450944.4363928236,13532.731404543094
444559.6385400131,13216.594373389395
468678.30199872534,13613.237431366671
464285.6845451009,12915.65192307563
486557.27111206413,14588.441884308808
433133.21507982933,13279.631532374928
456605.5568718245,14189.440339725934
433970.7076804072,12810.627040831738
437437.8504382626,12693.467392199023
470230.3728960088,15502.672356490923
445211.42004136485,12955.957186717831
445632.11357558554,13781.646875228269
475645.2806228186,14455.716408449325
429858.4434245543,12946.317422441325
433437.96309885924,13153.886761707983
456248.134269943,15301.012001724299
462783.0318089095,14354.685129600566
450410.56068354845,12609.558681185055
416292.0548741487,12504.209490789333
429791.1896742325,12899.60475365975
439625.768274385,13387.666335142912
479136.5546741155,14070.039917613565
475431.8000698538,14297.702253932379
470867.1794982335,13237.8905762742
414495.8438678784,12454.583582696798
425354.30675264786,13112.025994601207
465424.5047540406,13546.391561316013
458058.5375366935,13264.69628909204
471077.2076719656,14442.110617078983
436018.08472877054,12768.648728898923
473056.19219455484,12940.264199783565
437753.5745133265,13019.108758395076
435290.08951500314,12914.065263733508
447971.32173023134,14318.108879516485
426034.8154361963,13466.878090876186
423100.3294708485,13115.606256107549
446016.11707865674,12753.470194244728
471916.2262305118,13739.725409041162
449209.52569541155,12634.560802538545
453316.6038703301,12737.42553211848
451505.07040671585,14613.107598388775
437124.9023441358,13098.941194244002
443970.97897408105,13199.568254337291
439859.212936398,12603.313699055338
431186.24210857955,12461.419895956
466279.3064942594,13513.696328769945
485437.27236084105,14988.805304287007
430439.74436669645,12121.83363069882
432515.1284920661,12001.658710232465
459895.70035204827,12948.260486551108
448505.7846908453,12564.447992023637
450705.1446081877,13043.036960409147
428718.501586033,12759.722501006912
416571.27512243664,12525.021556368174
443854.8694421601,13235.07005723464
431435.1221809895,13421.938221001727
421139.9165998739,12265.16244352593
443701.65344989416,12761.98549527421
459696.5284116411,13546.801864538174
438760.3792034826,12446.63463519562
432735.45918559073,12339.759722725255
449180.0431389226,13327.243698234337
443435.1593740297,12856.24691195532
445689.8199674634,12566.666096193465
427102.524659622,12541.383171154255
467457.5170271073,13949.113466037594
461528.01352702786,14346.688623156706
456231.49078571546,13742.622664512797
454675.74493027385,13118.036480979215
444460.3033104006,12625.592573761181
430465.8489410619,13154.256157144304
447770.60739861283,13062.783383550079
441257.11921622325,13278.103116918028
428388.53982500936,12928.097323579415
444280.75902727386,13689.185281668528
438757.1642254181,12543.193892826996
445346.6560723668,12394.367258376875
